Season,OFF_RATING,DEF_RATING,TS_PCT,PACE
1979-1980,106.77,106.77,0.5314,102.37
1980-1981,106.92,106.92,0.5345,101.1
1981-1982,108.58,108.58,0.5388,100.02
1982-1983,106.17,106.17,0.5311,102.19
1983-1984,109.05,109.05,0.5425,100.96
1984-1985,109.26,109.26,0.5429,101.41
1985-1986,108.67,108.67,0.5406,101.41
1986-1987,109.53,109.53,0.5376,100.34
1987-1988,109.42,109.42,0.5383,98.88
1988-1989,108.99,108.99,0.537,100.2
1989-1990,109.23,109.23,0.5364,97.96
1990-1991,109.12,109.12,0.5343,97.42
1991-1992,109.42,109.42,0.5316,96.24
1992-1993,109.37,109.37,0.5362,96.28
1993-1994,107.66,107.66,0.5281,94.28
1994-1995,109.66,109.66,0.5427,92.47
1995-1996,109.08,109.08,0.5418,91.22
1996-1997,108.03,108.03,0.5358,89.69
1997-1998,106.31,106.31,0.5237,89.93
1998-1999,103.43,103.43,0.5114,88.56
1999-2000,105.43,105.43,0.5229,92.48
2000-2001,104.44,104.44,0.5177,90.77
2001-2002,105.75,105.75,0.5203,90.31
2002-2003,104.9,104.9,0.5195,90.66
2003-2004,104.22,104.22,0.5163,89.61
2004-2005,107.39,107.39,0.5295,90.51
2005-2006,107.75,107.75,0.5355,90.02
2006-2007,108.01,108.01,0.5412,91.38
2007-2008,109.13,109.13,0.5403,91.54
2008-2009,109.92,109.92,0.5449,90.98
2009-2010,109.31,109.31,0.5428,91.85
2010-2011,108.83,108.83,0.5417,91.52
2011-2012,106.15,106.15,0.5274,90.72
2012-2013,107.38,107.38,0.5345,91.36
2013-2014,108.37,108.37,0.5408,93.2
2014-2015,107.24,107.24,0.534,93.25
2015-2016,108.17,108.17,0.5411,94.94
2016-2017,110.59,110.59,0.5525,95.49
2017-2018,110.46,110.46,0.5557,96.24
2018-2019,112.28,112.28,0.5596,99.04
2019-2020,112.67,112.67,0.5649,99.23
2020-2021,114.49,114.49,0.572,97.91
2021-2022,113.8,113.8,0.5658,97.19
2022-2023,116.75,116.75,0.5814,98.25
2023-2024,117.26,117.26,0.58,97.39
2024-2025,116.28,116.28,0.5762,97.87
2025-2026,117.43,117.43,0.5813,98.44
