Season,League_Avg_Def,Best_Defense_Rating,Worst_Defense_Rating,Defensive_Gap
1979-1980,106.68,102.38,111.1,8.72
1980-1981,106.87,99.29,110.57,11.28
1981-1982,108.52,104.21,116.33,12.12
1982-1983,106.22,97.87,112.28,14.4
1983-1984,109.08,103.92,113.19,9.27
1984-1985,109.36,103.8,115.97,12.18
1985-1986,108.64,100.69,114.73,14.05
1986-1987,109.61,102.59,116.88,14.29
1987-1988,109.37,98.71,117.02,18.31
1988-1989,108.98,98.75,115.26,16.51
1989-1990,109.35,100.41,115.22,14.81
1990-1991,109.07,102.59,116.2,13.61
1991-1992,109.39,101.63,117.01,15.38
1992-1993,109.39,100.27,114.86,14.59
1993-1994,107.58,100.95,113.09,12.14
1994-1995,109.66,102.29,116.52,14.23
1995-1996,109.11,98.95,116.78,17.83
1996-1997,108.04,101.68,115.85,14.18
1997-1998,106.25,96.67,113.9,17.24
1998-1999,103.39,93.62,110.07,16.45
1999-2000,105.48,94.96,110.4,15.44
2000-2001,104.37,98.17,110.68,12.51
2001-2002,105.82,99.39,114.04,14.65
2002-2003,104.93,92.67,112.66,19.99
2003-2004,104.2,97.78,114.1,16.31
2004-2005,107.36,99.86,116.54,16.68
2005-2006,107.73,101.95,113.92,11.97
2006-2007,108.03,104.17,116.05,11.88
2007-2008,109.09,101.53,115.96,14.43
2008-2009,109.84,103.67,115.81,12.14
2009-2010,109.26,102.15,117.31,15.16
2010-2011,108.84,103.07,114.12,11.05
2011-2012,106.06,96.24,112.99,16.75
2012-2013,107.41,101.9,114.98,13.08
2013-2014,108.35,100.83,113.87,13.04
2014-2015,107.3,96.93,114.48,17.55
2015-2016,108.24,100.61,117.23,16.63
2016-2017,110.64,104.7,117.85,13.15
2017-2018,110.61,105.06,117.03,11.97
2018-2019,112.35,106.49,118.6,12.11
2019-2020,112.47,107.18,118.36,11.17
2020-2021,114.47,105.6,121.36,15.75
2021-2022,113.93,106.03,118.69,12.66
2022-2023,116.75,111.19,121.78,10.58
2023-2024,117.21,108.43,125.26,16.83
2024-2025,116.28,108.21,123.96,15.75
2025-2026,117.44,110.18,124.39,14.21
