Year,Pace,ORtg,DRtg,NRtg,TS%,eFG%,TOV%,ORB%,FT/FGA
1980,103.073,105.255,105.268,-0.014,0.531,0.486,15.541,33.473,0.235
1981,101.826,105.5,105.539,-0.039,0.534,0.489,15.639,33.465,0.246
1982,100.874,106.883,106.883,0.0,0.538,0.494,14.965,32.978,0.242
1983,103.057,104.687,104.691,-0.004,0.531,0.488,15.77,33.374,0.234
1984,101.426,107.609,107.617,-0.009,0.543,0.495,15.0,32.987,0.256
1985,102.13,107.87,107.874,-0.004,0.543,0.496,14.913,32.913,0.252
1986,102.13,107.196,107.217,-0.022,0.541,0.492,14.887,32.439,0.259
1987,100.809,108.343,108.322,0.022,0.538,0.488,14.235,33.396,0.262
1988,99.583,108.065,108.03,0.035,0.538,0.489,14.257,32.787,0.255
1989,100.64,107.804,107.768,0.036,0.537,0.489,14.476,33.012,0.249
1990,98.33,108.133,108.122,0.011,0.537,0.489,13.878,32.048,0.251
1991,97.83,107.885,107.848,0.037,0.535,0.487,13.885,32.289,0.245
1992,96.648,108.152,108.152,0.0,0.531,0.487,13.552,32.867,0.232
1993,96.77,108.026,107.993,0.033,0.536,0.491,13.948,31.933,0.244
1994,95.096,106.259,106.23,0.03,0.528,0.485,14.278,32.248,0.233
1995,92.911,108.241,108.244,-0.004,0.543,0.5,14.585,31.304,0.245
1996,91.81,107.659,107.628,0.031,0.542,0.499,14.714,30.541,0.244
1997,90.134,106.666,106.614,0.052,0.536,0.493,14.772,30.766,0.237
1998,90.286,105.045,105.003,0.041,0.524,0.478,14.507,31.369,0.244
1999,88.917,102.221,102.179,0.041,0.512,0.465,14.624,30.134,0.241
2000,93.09,104.052,104.045,0.007,0.523,0.478,14.214,28.893,0.232
2001,91.252,103.028,103.014,0.014,0.518,0.473,14.121,28.203,0.231
2002,90.703,104.514,104.531,-0.017,0.52,0.477,13.617,28.838,0.221
2003,90.993,103.634,103.624,0.01,0.519,0.474,14.021,28.5,0.23
2004,90.1,102.91,102.89,0.021,0.516,0.471,14.207,28.634,0.229
2005,90.927,106.067,106.073,-0.007,0.529,0.482,13.643,28.693,0.246
2006,90.53,106.213,106.2,0.013,0.536,0.49,13.717,27.297,0.249
2007,91.92,106.44,106.433,0.007,0.541,0.496,14.23,27.083,0.247
2008,92.387,107.48,107.467,0.013,0.54,0.497,13.233,26.67,0.232
2009,91.657,108.263,108.227,0.037,0.544,0.5,13.253,26.75,0.236
2010,92.74,107.577,107.553,0.023,0.543,0.501,13.323,26.267,0.228
2011,92.08,107.257,107.227,0.03,0.542,0.498,13.43,26.33,0.229
2012,91.273,104.59,104.6,-0.01,0.527,0.487,13.767,26.933,0.208
2013,92.0,105.837,105.843,-0.007,0.535,0.496,13.69,26.48,0.204
2014,93.95,106.65,106.643,0.007,0.541,0.501,13.557,25.48,0.215
2015,93.903,105.64,105.65,-0.01,0.534,0.496,13.29,25.137,0.205
2016,95.773,106.397,106.393,0.003,0.541,0.502,13.157,23.813,0.209
2017,96.4,108.81,108.78,0.03,0.552,0.514,12.73,23.293,0.209
2018,97.327,108.617,108.613,0.003,0.556,0.521,12.987,22.327,0.193
2019,100.037,110.4,110.403,-0.003,0.56,0.524,12.417,22.887,0.198
2020,100.31,110.5,110.68,-0.18,0.564,0.529,12.82,22.48,0.201
2021,99.18,112.353,112.33,0.023,0.572,0.538,12.363,22.193,0.192
2022,98.227,111.973,111.95,0.023,0.566,0.532,12.343,23.213,0.192
2023,99.15,114.807,114.79,0.017,0.581,0.545,12.513,23.97,0.208
2024,98.513,115.283,115.257,0.027,0.58,0.546,12.143,24.223,0.192
2025,98.847,114.533,114.53,0.003,0.576,0.543,12.667,25.17,0.19
2026,99.353,115.78,115.73,0.05,0.581,0.546,12.737,26.003,0.206
