Season,Conference,Status,Team_Name,W,L,W/L%,PS/G,PA/G
1979-1980,East,Best,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division
1979-1980,East,Worst,Detroit Pistons,16,66,.195,108.9,117.2
1979-1980,West,Best,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division
1979-1980,West,Worst,Golden State Warriors,24,58,.293,103.6,108.0
1980-1981,East,Best,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division
1980-1981,East,Worst,Detroit Pistons,21,61,.256,99.7,106.0
1980-1981,West,Best,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division
1980-1981,West,Worst,Seattle SuperSonics,34,48,.415,104.0,105.7
1981-1982,East,Best,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division
1981-1982,East,Worst,Cleveland Cavaliers,15,67,.183,103.2,111.7
1981-1982,West,Best,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division
1981-1982,West,Worst,San Diego Clippers,17,65,.207,108.5,115.9
1982-1983,East,Best,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division
1982-1983,East,Worst,Indiana Pacers,20,62,.244,108.7,114.5
1982-1983,West,Best,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division
1982-1983,West,Worst,San Diego Clippers,25,57,.305,108.6,113.4
1983-1984,East,Best,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division
1983-1984,East,Worst,Indiana Pacers,26,56,.317,104.5,109.3
1983-1984,West,Best,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division
1983-1984,West,Worst,San Diego Clippers,30,52,.366,110.7,114.0
1984-1985,East,Best,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division
1984-1985,East,Worst,Indiana Pacers,22,60,.268,108.3,114.5
1984-1985,West,Best,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division
1984-1985,West,Worst,Golden State Warriors,22,60,.268,110.4,117.7
1985-1986,East,Best,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division
1985-1986,East,Worst,Indiana Pacers,26,56,.317,103.9,107.2
1985-1986,West,Best,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division
1985-1986,West,Worst,Golden State Warriors,30,52,.366,113.4,116.9
1986-1987,East,Best,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division
1986-1987,East,Worst,Cleveland Cavaliers,31,51,.378,104.4,108.2
1986-1987,West,Best,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division
1986-1987,West,Worst,Los Angeles Clippers,12,70,.146,104.5,115.9
1987-1988,East,Best,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division
1987-1988,East,Worst,Indiana Pacers,38,44,.463,104.6,105.4
1987-1988,West,Best,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division
1987-1988,West,Worst,Los Angeles Clippers,17,65,.207,98.8,109.1
1988-1989,East,Best,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division
1988-1989,East,Worst,Indiana Pacers,28,54,.341,106.9,111.1
1988-1989,West,Best,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division
1988-1989,West,Worst,Los Angeles Clippers,21,61,.256,106.2,116.2
1989-1990,East,Best,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division
1989-1990,East,Worst,Orlando Magic,18,64,.220,110.9,119.8
1989-1990,West,Best,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division
