Year,Team,Pace,ORtg,DRtg,NRtg,TS%,eFG%,TOV%,ORB%,FT/FGA
1980,Boston Celtics,102.6,109.4,101.9,7.5,0.55,0.475,16.5,34.8,0.234
1980,Los Angeles Lakers,104.1,109.5,103.9,5.6,0.569,0.475,14.0,32.6,0.181
1980,Seattle SuperSonics,101.8,105.8,101.2,4.6,0.52,0.463,15.4,36.4,0.221
1980,Philadelphia 76ers,103.0,105.0,101.0,4.0,0.544,0.46,15.5,33.5,0.217
1980,Milwaukee Bucks,102.4,106.8,102.9,3.9,0.532,0.467,16.2,35.2,0.229
1980,Phoenix Suns,104.8,105.6,102.2,3.4,0.548,0.483,16.5,30.4,0.213
1980,Kansas City Kings,103.2,104.0,101.0,3.0,0.522,0.479,17.9,31.0,0.273
1980,Atlanta Hawks,98.9,105.2,102.3,2.9,0.523,0.461,17.1,36.9,0.291
1980,Cleveland Cavaliers,105.6,106.7,106.4,0.3,0.519,0.505,16.3,33.1,0.216
1980,Houston Rockets,101.2,108.1,108.0,0.1,0.533,0.499,16.1,37.6,0.23
1980,San Antonio Spurs,109.5,108.6,109.0,-0.4,0.553,0.506,14.4,31.8,0.216
1980,Indiana Pacers,104.4,105.5,106.2,-0.7,0.523,0.493,17.0,35.4,0.23
1980,Portland Trail Blazers,98.6,103.4,104.3,-0.9,0.519,0.482,15.3,35.5,0.245
1980,New Jersey Nets,106.1,101.5,102.5,-1.0,0.518,0.472,16.5,32.1,0.263
1980,New York Knicks,106.5,106.5,107.5,-1.0,0.539,0.498,16.4,33.7,0.263
1980,Washington Bullets,102.6,103.2,105.7,-2.5,0.504,0.469,12.3,33.3,0.218
1980,Chicago Bulls,101.8,104.3,107.0,-2.7,0.545,0.5,15.7,32.2,0.251
1980,San Diego Clippers,101.4,105.7,109.8,-4.1,0.522,0.503,14.2,34.2,0.215
1980,Denver Nuggets,103.9,103.4,107.6,-4.2,0.517,0.497,14.4,33.6,0.224
1980,Golden State Warriors,100.5,102.0,106.3,-4.3,0.52,0.498,15.5,31.1,0.273
1980,Utah Jazz,97.6,104.2,110.4,-6.2,0.547,0.5,13.5,29.7,0.237
1980,Detroit Pistons,107.1,101.2,108.8,-7.6,0.523,0.499,15.2,32.3,0.239
1981,Philadelphia 76ers,103.4,107.0,99.5,7.5,0.562,0.454,16.3,32.3,0.252
1981,Milwaukee Bucks,103.6,108.7,101.8,6.9,0.546,0.461,16.6,36.3,0.28
1981,Boston Celtics,100.8,108.4,102.6,5.8,0.553,0.464,15.1,34.7,0.24
1981,Phoenix Suns,104.7,104.6,99.4,5.2,0.537,0.471,17.5,35.1,0.244
1981,Los Angeles Lakers,102.7,107.6,103.9,3.7,0.548,0.468,14.6,33.9,0.208
1981,San Antonio Spurs,102.9,108.5,105.7,2.8,0.545,0.475,14.1,37.5,0.233
1981,Chicago Bulls,100.6,107.8,105.8,2.0,0.556,0.493,15.5,36.9,0.232
1981,New York Knicks,101.0,106.0,104.4,1.6,0.533,0.504,17.2,31.6,0.22
1981,Indiana Pacers,100.9,106.4,105.0,1.4,0.528,0.492,17.0,35.5,0.248
1981,Portland Trail Blazers,103.0,106.5,105.7,0.8,0.534,0.49,15.8,33.9,0.246
1981,Houston Rockets,100.5,107.0,106.7,0.3,0.534,0.496,14.7,33.9,0.214
1981,Washington Bullets,102.4,102.7,102.7,0.0,0.514,0.472,14.3,30.5,0.212
1981,Kansas City Kings,101.3,104.7,104.7,0.0,0.54,0.483,15.6,29.2,0.265
1981,Denver Nuggets,109.8,109.4,109.8,-0.4,0.537,0.509,14.6,33.1,0.232
1981,Golden State Warriors,101.0,108.5,109.7,-1.2,0.537,0.507,14.4,38.8,0.25
1981,San Diego Clippers,100.2,106.0,107.6,-1.6,0.528,0.507,16.2,33.0,0.262
1981,Seattle SuperSonics,100.3,103.2,104.8,-1.6,0.521,0.468,13.8,33.1,0.232
1981,Atlanta Hawks,99.4,104.3,107.3,-3.0,0.537,0.498,17.3,34.1,0.295
1981,Cleveland Cavaliers,100.8,104.3,109.1,-4.8,0.513,0.507,15.2,33.5,0.251
1981,New Jersey Nets,105.2,101.0,106.7,-5.7,0.525,0.506,16.4,30.4,0.281
1981,Utah Jazz,97.7,103.4,109.4,-6.0,0.536,0.492,13.8,28.3,0.268
1981,Detroit Pistons,101.2,98.1,104.3,-6.2,0.51,0.512,18.6,33.4,0.242
1981,Dallas Mavericks,98.6,102.4,110.8,-8.4,0.519,0.516,15.1,30.7,0.245
